ICAO aircraft type designator,description,aircraft_model,role,engine_type,Engines
HM38,Landplane,Falconar HM-380 Ladybug,General Aviation,Piston,1
HORZ,Landplane,Fisher Aero Horizon,General Aviation,Piston,1
HUCO,Helicopter,Fuji AH-1 HueyCobra,Military Helicopter,Turboprop,1
HUSK,Landplane,Christen A-1 Husky,General Aviation,Piston,1
I22,Landplane,Instytut Lotnictwa I-22 Iryda,Military Trainer,Jet,2
I23,Landplane,Instytut Lotnictwa I-23 Manager,_unknown_,Piston,1
IA50,Landplane,Dinfia IA-50 Guarani 2,Passenger Airliner,Turboprop,2
IA51,Landplane,Fma IA-51 Tehuelche,General Aviation,Piston,1
IA63,Landplane,Lmaasa IA-63 Pampa,Military Trainer,Jet,1
IL14,Landplane,Avia Av-14,Passenger Airliner,Piston,2
IL14,Landplane,Veb Il-14,Passenger Airliner,Piston,2
IL28,Landplane,Harbin HZ-5,Bomber,Jet,2
IMPU,Landplane,Xtremeair Xtreme 1000,General Aviation,Piston,1
IPAN,Landplane,Neiva EMB-201 Ipanema,General Aviation,Piston,1
IR27,Landplane,IAR-827 Dacic,Agricultural,Piston,1
IR99,Landplane,IAR-99 Şoim,Military Trainer,Jet,1
IS28,Landplane,ICA IS-28,Glider,No engine,0
J1,Landplane,Taylorcraft J-1 Autocrat,General Aviation,Piston,1
J177,Landplane,Euro Pingouin JA-177 Pingouin 152,Ultralight,Piston,1
J2,Landplane,Piper J-2 Cub,General Aviation,Piston,1
J3,Landplane,American Legend AL-3C Legend Cub,General Aviation,Piston,1
J3,Landplane,Cub J-3 Cub,General Aviation,Piston,1
J3,Landplane,Henderson Little Bear,General Aviation,Piston,1
J3,Landplane,Texas Sport TX-3 Texas Sport,General Aviation,Piston,1
J3,Landplane,Wagaero Cuby Sport Trainer,General Aviation,Piston,1
J300,Landplane,Sauper J-300 Joker,Ultralight,Piston,1
J328,Landplane,Fairchild Dornier 328JET Envoy 3,Passenger Airliner,Jet,2
J328,Landplane,328 Support Services Dornier 328JET,Passenger Airliner,Jet,2
J328,Landplane,Avcraft Dornier 328JET,Passenger Airliner,Jet,2
J328,Landplane,Ruag Dornier 328 JET Envoy,Passenger Airliner,Jet,2
JAB4,Landplane,Jabiru J200,General Aviation,Piston,1
JAB4,Landplane,Seabird Yamamah J430,General Aviation,Piston,1
JACE,Landplane,Acro Sport Junior Ace,General Aviation,Piston,1
JACE,Landplane,Corben Junior Ace,General Aviation,Piston,1
JACE,Landplane,Pober Junior Ace,General Aviation,Piston,1
JAGR,Landplane,Hindustan Jaguar,Other military,Jet,2
JAJ5,Landplane,Janowski J-5 Marco,Motor-Glider,Piston,1
JAJ5,Landplane,Aviation Farm J-5 Marco,Motor-Glider,Piston,1
JAJ5,Landplane,Marco J-5 Marco,Motor-Glider,Piston,1
JCOM,Landplane,IAI Westwind,Business Jet,Jet,2
JFOX,Landplane,Airo 1,Ultralight,Piston,1
JPRO,Landplane,Hunting Percival P-84 Jet Provost,Military Trainer,Jet,1
JPRO,Landplane,Hunting P-84 Jet Provost,Military Trainer,Jet,1
JS1,Landplane,Jetstream Jetstream 1,Passenger Airliner,Turboprop,2
JS20,Landplane,Handley Page HP.137 Jetstream 200,Passenger Airliner,Turboprop,2
JS20,Landplane,Scottish Aviation Jetstream T.Mk.1,Passenger Airliner,Turboprop,2
JS3,Landplane,Volpar Century Jetstream 3,Passenger Airliner,Turboprop,2
JS32,Landplane,British Aerospace Jetstream Super 31,Passenger Airliner,Turboprop,2
JS41,Landplane,Ai(R) BAe-4100 Jetstream 41,Passenger Airliner,Turboprop,2
JS41,Landplane,Jetstream BAe-4100 Jetstream 41,Passenger Airliner,Turboprop,2
JSQA,Landplane,General Avia F-1300 Jet Squalus,Military Trainer,Jet,1
JU52,Landplane,CASA 352,Passenger Airliner,Piston,3
JUNR,Landplane,Bölkow BO-208 Junior,General Aviation,Piston,1
JUNR,Landplane,Andreasson BA-7,General Aviation,Piston,1
K126,Helicopter,ICA Ka-126,Helicopter,Turboprop,1
K8,Landplane,Nanchang K-8 Karakorum,Military Trainer,Jet,1
KAK3,Landplane,Junkers Profly Junka,General Aviation,Piston,1
KFIS,Amphibian,Warner W-1 Super Kingfisher,General Aviation,Piston,1
KIS2,Landplane,Pulsar Sport 150,General Aviation,Piston,1
KIS4,Landplane,Pulsar Super Cruiser,General Aviation,Piston,1
KIWI,Landplane,Valentin Kiwi,_unknown_,Piston,1
KL07,Landplane,Nabern Kl-107,General Aviation,Piston,1
KL07,Landplane,Bölkow Kl-107,General Aviation,Piston,1
KP2,Landplane,Jihlavan KP-2 Rapid 200,Ultralight,Piston,1
KR21,Landplane,Fairchild KR-21 Challenger (C-6),General Aviation,Piston,1
KR31,Landplane,Fairchild KR-31 Challenger (C-2),General Aviation,Piston,1
KR34,Landplane,Fairchild KR-34 Challenger,General Aviation,Piston,1
KT1,Landplane,Daewoo KT-1 Woong-Bee,Military Trainer,Turboprop,1
KTOO,Landplane,Amax J-6 Karatoo,Ultralight,Piston,1
KTOO,Landplane,Anglin J-6 Karatoo,Ultralight,Piston,1
KTOO,Landplane,Country Air J-6 Karatoo,Ultralight,Piston,1
KTOO,Landplane,Grover J-6 Karatoo,Ultralight,Piston,1
L11,Landplane,Temco 11A Sedan,General Aviation,Piston,1
L11E,Landplane,Quartz QMA 11E,General Aviation,Piston,1
L13,Landplane,Longren L-13 Centaur,Other military,Piston,1
L18,Landplane,Howard 250,Passenger Airliner,Piston,2
L18,Landplane,Lear Learstar,Passenger Airliner,Piston,2
L18,Landplane,Pacaero Learstar,Passenger Airliner,Piston,2
L37,Landplane,Howard 500,Bomber,Piston,2
L37,Landplane,Oakland Centaurus,Bomber,Piston,2
L410,Landplane,Aircraft Industries L-410 Turbolet,Passenger Airliner,Turboprop,2
L60,Landplane,Orlican L-60 Brigadyr,General Aviation,Piston,1
L8,Landplane,Luscombe-Silvaire LSA-8 Renai,General Aviation,Piston,1
L8,Landplane,Renaissance 8,General Aviation,Piston,1
L8,Landplane,Silvaire 8 Silvaire,General Aviation,Piston,1
L8,Landplane,Temco 8 Silvaire,General Aviation,Piston,1
L90,Landplane,Valmet L-90TP Redigo,Military Trainer,Turboprop,1
LA25,Amphibian,Lanshe LA-250 Renegade,General Aviation,Piston,1
LA60,Landplane,Macchi AL-60,General Aviation,Piston,1
LA60,Landplane,Atlas AL-60 Kudu,General Aviation,Piston,1
LA60,Landplane,Lockheed LASA-60,General Aviation,Piston,1
LA60,Landplane,Lockheed-Azcarate LASA-60 Santa Maria,General Aviation,Piston,1
LAKX,Landplane,Avia Baltika LAK-X,_unknown_,Piston,1
LAMA,Helicopter,Eurocopter SA-315 Lama,Helicopter,Turboprop,1
LAMA,Helicopter,Helibras HB-315 Gaviao,Helicopter,Turboprop,1
LAMA,Helicopter,Hindustan SA-315 Cheetah,Helicopter,Turboprop,1
LAMA,Helicopter,Sud SA-315 Lama,Helicopter,Turboprop,1
LBUG,Landplane,Lightning Bug,General Aviation,Piston,1
LCA,Landplane,ADA LCA Tejas,Fighter,Jet,1
LJ23,Landplane,Learjet 23,Business Jet,Jet,2
LJ24,Landplane,Learjet 24,Business Jet,Jet,2
LJ25,Landplane,Learjet 25,Business Jet,Jet,2
LJ31,Landplane,Learjet 31,Business Jet,Jet,2
LJ35,Landplane,Learjet 35,Business Jet,Jet,2
LJ40,Landplane,Learjet 40,Business Jet,Jet,2
LJ45,Landplane,Learjet 45,Business Jet,Jet,2
LJ55,Landplane,Learjet 55,Business Jet,Jet,2
LJ60,Landplane,Learjet 60,Business Jet,Jet,2
LK17,Landplane,Sportine Aviacija LAK-17AT,Motor-Glider,Piston,1
LK19,Landplane,Sportine Aviacija LAK-19T,Motor-Glider,Piston,1
LK20,Landplane,Sportine Aviacija LAK-20M,Motor-Glider,Piston,1
LNC2,Landplane,Lancair 200,General Aviation,Piston,1
LNC2,Landplane,Lancair 200,General Aviation,Piston,1
LNC4,Landplane,Lancair 4,General Aviation,Piston,1
LNC4,Landplane,Lancair 4,General Aviation,Piston,1
LNC4,Landplane,Lancair 4,General Aviation,Piston,1
LNCE,Landplane,Lancair ES,General Aviation,Piston,1
LNCE,Landplane,Lancair ES,General Aviation,Piston,1
LS8,Landplane,DG Flugzeugbau LS-8ST,Glider,Piston,1
LTNG,Landplane,BAC Lightning,Fighter,Jet,2
LYNX,Helicopter,Westland AW-159 Lynx Wildcat,Helicopter,Turboprop,2
LYSA,Landplane,National Steel Lysander,Reconnaissance,Piston,1
M10,Landplane,Aerostar 90,General Aviation,Piston,1
M110,Landplane,Aviat 110 Specal,General Aviation,Piston,1
M18,Landplane,AII AVA-303,Agricultural,Piston,1
M18T,Landplane,Melex T-45 Turbine Dromader,Agricultural,Turboprop,1
M200,Landplane,Meyers 200,General Aviation,Piston,1
M200,Landplane,North American Rockwell Commander 200,General Aviation,Piston,1
M20P,Landplane,Aerostar 200,General Aviation,Piston,1
M2HK,Landplane,Phillips & Powis M-2 Hawk Major,General Aviation,Piston,1
M308,Landplane,German Bianco MB-308,General Aviation,Piston,1
M326,Landplane,Aermacchi MB-326,Military Trainer,Jet,1
M326,Landplane,Atlas MB-326 Impala,Military Trainer,Jet,1
M326,Landplane,Commonwealth MB-326,Military Trainer,Jet,1
M326,Landplane,Embraer EMB-326 Xavante,Military Trainer,Jet,1
M4,Landplane,Saasa M-1 Cuauhtemoc,General Aviation,Piston,1
MA1,Landplane,Emroth MA-1 Diablo,Agricultural,Piston,1
MA1,Landplane,Murrayair MA-1 Paymaster,Agricultural,Piston,1
MAGI,Landplane,Phillips & Powis M-14 Magister,Military Trainer,Piston,1
MAGN,Landplane,Airdale Magnum,General Aviation,Piston,1
MAJR,Landplane,Falconar Cubmajor,General Aviation,Piston,1
MAJR,Landplane,Phoenix LA-5 Major,General Aviation,Piston,1
MAME,Landplane,Aerocomp Merlin,General Aviation,Piston,1
MAME,Landplane,Macair Merlin,General Aviation,Piston,1
MAME,Landplane,Merlin Merlin,General Aviation,Piston,1
MC10,Landplane,Zenair MC-12 Cricri,General Aviation,Piston,2
MCR1,Landplane,Colomban MC-100 Ban-Bi,General Aviation,Piston,1
MD11,Landplane,Boeing MD-11,Passenger Airliner,Jet,3
MD3,Landplane,Datwyler MD-3 Swiss Trainer,General Aviation,Piston,1
MD3,Landplane,MDB MD-3 Swiss Trainer,General Aviation,Piston,1
MD52,Helicopter,McDonnell Douglas MD-520N,Helicopter,Turboprop,1
MD52,Helicopter,Boeing MD-520N,Helicopter,Turboprop,1
MD60,Helicopter,Hongdu Md Helicopters MD-600N,Helicopter,Turboprop,1
MD60,Helicopter,McDonnell Douglas MD-600N,Helicopter,Turboprop,1
MD60,Helicopter,Boeing MD-600N,Helicopter,Turboprop,1
MD81,Landplane,Boeing MD-81,Passenger Airliner,Jet,2
MD82,Landplane,Boeing MD-82,Passenger Airliner,Jet,2
MD82,Landplane,Shanghai MD-82,Passenger Airliner,Jet,2
MD83,Landplane,Boeing MD-83,Passenger Airliner,Jet,2
MD83,Landplane,Shanghai MD-83,Passenger Airliner,Jet,2
MD87,Landplane,Boeing MD-87,Passenger Airliner,Jet,2
MD88,Landplane,Boeing MD-88,Passenger Airliner,Jet,2
MD90,Landplane,Boeing MD-90,Passenger Airliner,Jet,2
MD90,Landplane,Shanghai MD-90,Passenger Airliner,Jet,2
ME08,Landplane,Nord 1001 Pingouin,Fighter,Piston,1
ME09,Landplane,Hispano HA-1112 Buchon,Fighter,Piston,1
ME62,Landplane,Legend Flyers Me-262,Fighter,Jet,2
METR,Landplane,Armstrong Whitworth Meteor,Fighter,Jet,2
MF17,Landplane,PAC MFI-17 Mushshak,Reconnaissance,Piston,1
MG15,Landplane,Aero S-102,Fighter,Jet,1
MG15,Landplane,PZL-Mielec LiM-1,Fighter,Jet,1
MG17,Landplane,PZL-Mielec LiM-5,Fighter,Jet,1
MG17,Landplane,Chengdu JJ-5,Fighter,Jet,1
MG17,Landplane,Shenyang J-5,Fighter,Jet,1
MG19,Landplane,Guizhou J-6,Fighter,Jet,2
MG19,Landplane,Nanchang J-6,Fighter,Jet,2
MG19,Landplane,Shenyang J-6,Fighter,Jet,2
MG21,Landplane,Chengdu J-7,Fighter,Jet,1
MG21,Landplane,Elbit MiG-21 Lancer,Fighter,Jet,1
MG21,Landplane,Guizhou JJ-7,Fighter,Jet,1
MG21,Landplane,Hindustan MiG-21,Fighter,Jet,1
MG21,Landplane,Aerostar MiG-21 Lancer,Fighter,Jet,1
MG23,Landplane,Hindustan MiG-27 Bahadur,Fighter,Jet,1
MG29,Landplane,Mapo MiG-29,Fighter,Jet,2
MG31,Landplane,Mapo MiG-31,Interceptor,Jet,2
MGAT,Landplane,Mapo MiG-AT,Military Trainer,Jet,2
MGIC,Landplane,WZL 3 DEKO-9,_unknown_,Piston,1
MI2,Helicopter,PZL-Swidnik Mi-2 Bazant,Helicopter,Turboprop,2
MI4,Helicopter,Harbin Z-5 Xuanfeng,Helicopter,Piston,1
MI8,Helicopter,Mil Mi-17,Helicopter,Turboprop,2
MICO,Landplane,Marmande Microjet 200,Business Jet,Jet,2
MICO,Landplane,Microjet 200,Business Jet,Jet,2
MIMP,Landplane,Mini-Imp Mini-Imp,General Aviation,Piston,1
MIMP,Landplane,Taylor Mini-Imp,General Aviation,Piston,1
MIMU,Landplane,Bushby MM-1 Midget Mustang,General Aviation,Piston,1
MIMU,Landplane,Long MM-1 Midget Mustang,General Aviation,Piston,1
MIRA,Landplane,Atlas Cheetah,Fighter,Jet,1
MIRA,Landplane,Commonwealth CA-29 Mirage 3,Fighter,Jet,1
MIRA,Landplane,F+W Emmen Mirage 3,Fighter,Jet,1
MIRA,Landplane,Enaer 50 Pantera,Fighter,Jet,1
MIRA,Landplane,IAI Dagger,Fighter,Jet,1
MJ2,Landplane,Siravia MJ-22 Tempęte,General Aviation,Piston,1
MJ7,Landplane,Boeve P-51 Mustang,General Aviation,Piston,1
MOGO,Landplane,Montagne Mountain Goat,General Aviation,Piston,1
MOR2,Landplane,Shinn 2150,General Aviation,Piston,1
MOR2,Landplane,Morrisey 2000 Nifty,General Aviation,Piston,1
MRMD,Amphibian,CSA Mermaid,Ultralight,Piston,1
MS76,Landplane,Dinfia MS-760 Paris,Military Trainer,Jet,2
MSQ2,Landplane,Mackey SQ-2,General Aviation,Piston,1
MT,Landplane,Rotorsport MT-03,Ultralight,Piston,1
MUS2,Landplane,Bushby M-2 Mustang 2,General Aviation,Piston,1
MX10,Landplane,Aerotec MXP-100 Aventura,General Aviation,Piston,1
MX1T,Landplane,AMD MXP-150 Patriot,General Aviation,Piston,1
MX65,Landplane,Aerotec MXP-650 Amigo,General Aviation,Piston,1
MX80,Landplane,Aerotec MXP-800 Fantasy,General Aviation,Piston,1
N260,Landplane,Max Holste MH-260 Super Broussard,Passenger Airliner,Turboprop,2
N262,Landplane,Aerospatiale N-262 Frégate,Passenger Airliner,Turboprop,2
N262,Landplane,Frakes Mohawk 298,Passenger Airliner,Turboprop,2
N5,Landplane,Nanchang N-5,Agricultural,Piston,1
NAL2,Landplane,NALLA-2 Hansa,_unknown_,Piston,1
NAVI,Landplane,North American U-18 Navion,Reconnaissance,Piston,1
NAVI,Landplane,Tusco Navion,Reconnaissance,Piston,1
NH90,Helicopter,Australian Aerospace MRH-90,Helicopter,Turboprop,2
NH90,Helicopter,Patria NH-90,Helicopter,Turboprop,2
NIPR,Landplane,Avions Fairey T-66 Nipper,General Aviation,Piston,1
NIPR,Landplane,Cobelavia D-158 Nipper,General Aviation,Piston,1
NIPR,Landplane,Nipper T-66 Nipper,General Aviation,Piston,1
NIPR,Landplane,Slingsby T.66 Nipper,General Aviation,Piston,1
NMCU,Landplane,Euro-Enaer EE-10 Eaglet,_unknown_,Piston,1
NORA,Landplane,Nordflug 2501 Noratlas,Other military,Piston,2
NORS,Landplane,CCF Norseman,General Aviation,Piston,1
O1,Landplane,Claassen 305,Reconnaissance,Piston,1
O1,Landplane,Ector Mountaineer,Reconnaissance,Piston,1
O1,Landplane,Fuji L-19 Bird Dog,Reconnaissance,Piston,1
OPCA,Landplane,Brooklands OA-7 Optica Scout,General Aviation,Piston,1
OPCA,Landplane,Optica OA-7 Optica,General Aviation,Piston,1
OPCA,Landplane,Fls OA-7 Optica,General Aviation,Piston,1
OSCR,Landplane,Afic RSA-200 Falcon,General Aviation,Piston,1
P136,Amphibian,Trecker Gull,General Aviation,Piston,2
P149,Landplane,Focke-Wulf FWP-149,General Aviation,Piston,1
P210,Landplane,Aviones Colombia P210,General Aviation,Piston,1
P210,Landplane,Riley Rocket P210,General Aviation,Piston,1
P220,Landplane,Aerotechnik P-220 Koala,General Aviation,Piston,1
P220,Landplane,Aero P-220-AT1,General Aviation,Piston,1
P220,Landplane,Antoniewski P-220S-AT1,General Aviation,Piston,1
P28A,Landplane,Aicsa PA-28-140 Cherokee,General Aviation,Piston,1
P28A,Landplane,Chincul PA-A-28-180 Cherokee Archer,General Aviation,Piston,1
P28A,Landplane,Embraer EMB-712 Tupi,General Aviation,Piston,1
P28A,Landplane,Neiva EMB-712 Tupi,General Aviation,Piston,1
P28B,Landplane,Aicsa PA-28-236 Dakota,General Aviation,Piston,1
P28B,Landplane,Chincul PA-A-28-235 Cherokee Pathfinder,General Aviation,Piston,1
P28B,Landplane,Embraer Carioca,General Aviation,Piston,1
P28B,Landplane,Indaer Chile PA-28-236 Dakota,General Aviation,Piston,1
P28B,Landplane,Neiva EMB-710 Carioca,General Aviation,Piston,1
P28R,Landplane,Aicsa PA-28R-180 Cherokee Arrow,General Aviation,Piston,1
P28R,Landplane,Chincul PA-A-28R-200 Cherokee Arrow 2,General Aviation,Piston,1
P28R,Landplane,Embraer Corisco,General Aviation,Piston,1
P28R,Landplane,Neiva EMB-711B Corisco,General Aviation,Piston,1
P28T,Landplane,Aicsa PA-28RT-201T Turbo Arrow 4,General Aviation,Piston,1
P28T,Landplane,Chincul PA-A-28RT-201T Turbo Arrow 4,General Aviation,Piston,1
P28T,Landplane,Embraer EMB-711T Corisco 2,General Aviation,Piston,1
P28T,Landplane,Neiva EMB-711ST Corisco 2 Turbo,General Aviation,Piston,1
P3,Landplane,Kawasaki P-3 Orion,Reconnaissance,Turboprop,4
P3,Landplane,Lockheed Martin P-3 Orion,Reconnaissance,Turboprop,4
P32R,Landplane,Aicsa PA-32R-301T Turbo Saratoga SP,General Aviation,Piston,1
P32R,Landplane,Chincul PA-A-32R-300 Lance,General Aviation,Piston,1
P32R,Landplane,Embraer EMB-721 Sertanejo,General Aviation,Piston,1
P32R,Landplane,Neiva EMB-721 Sertanejo,General Aviation,Piston,1
P32T,Landplane,Aicsa PA-32RT Turbo Lance 2,General Aviation,Piston,1
P32T,Landplane,Chincul PA-A-32RT-300T Turbo Lance 2,General Aviation,Piston,1
P32T,Landplane,Embraer PA-32RT-300 Lance 2,General Aviation,Piston,1
P337,Landplane,Reims FP337 Pressurized Skymaster,General Aviation,Piston,2
P46T,Landplane,Jetprop DLX,General Aviation,Turboprop,1
P51,Landplane,Commonwealth CA-18 Mustang,Fighter,Piston,1
P66P,Landplane,Trecker 166,General Aviation,Piston,2
P68,Landplane,Taneja P-68 Observer,General Aviation,Piston,2
P68,Landplane,Vulcanair P-68 Observer,General Aviation,Piston,2
PA11,Landplane,American Legend AL-11C Legend Cub Special,General Aviation,Piston,1
PA11,Landplane,Cub Crafters CC11-100 Sport Cub S2,General Aviation,Piston,1
PA11,Landplane,Texas Sport TX-11 Texas Sport,General Aviation,Piston,1
PA14,Landplane,Wagaero 2+2 Sportsman,General Aviation,Piston,1
PA15,Landplane,Wagaero Wag-a-Bond,General Aviation,Piston,1
PA18,Landplane,Airframes-Dakota Cub Super 18,General Aviation,Piston,1
PA18,Landplane,Cub Crafters CC18-180 Top Cub,General Aviation,Piston,1
PA18,Landplane,Smith Aviation PA-18 Super Cub,General Aviation,Piston,1
PA18,Landplane,Wagaero Super Cuby,General Aviation,Piston,1
PA23,Landplane,Miller Jet Profile,General Aviation,Piston,2
PA23,Landplane,Seguin Geronimo,General Aviation,Piston,2
PA25,Landplane,Chincul PA-A-25 Pawnee,Agricultural,Piston,1
PA25,Landplane,Embraer PA-25 Pawnee,Agricultural,Piston,1
PA25,Landplane,Laviasa PA-25 Puelche,Agricultural,Piston,1
PA27,Landplane,Chincul PA-A-23-250 Aztec,General Aviation,Piston,2
PA30,Landplane,Aicsa PA-30 Twin Comanche,General Aviation,Piston,2
PA30,Landplane,Miller Twin Comanche 200,General Aviation,Piston,2
PA31,Landplane,Aicsa PA-31-310 Navajo,General Aviation,Piston,2
PA31,Landplane,Chincul PA-A-31-310 Navajo,General Aviation,Piston,2
PA31,Landplane,Colemill Panther Navajo,General Aviation,Piston,2
PA31,Landplane,Embraer EMB-820 Navajo,General Aviation,Piston,2
PA31,Landplane,Neiva EMB-820 Navajo,General Aviation,Piston,2
PA32,Landplane,Aicsa PA-32 Cherokee Six,General Aviation,Piston,1
PA32,Landplane,Chincul PA-A-32 Cherokee Six,General Aviation,Piston,1
PA32,Landplane,Embraer EMB-720 Minuano,General Aviation,Piston,1
PA32,Landplane,Neiva EMB-720 Minuano,General Aviation,Piston,1
PA34,Landplane,Aicsa PA-34 Seneca,General Aviation,Piston,2
PA34,Landplane,Bengis TM-20 Flamingo 3,General Aviation,Piston,2
PA34,Landplane,Chincul PA-A-34 Seneca,General Aviation,Piston,2
PA34,Landplane,Embraer EMB-810 Seneca II,General Aviation,Piston,2
PA34,Landplane,Neiva EMB-810 Seneca,General Aviation,Piston,2
PA34,Landplane,PZL-Mielec M-20 Mewa,General Aviation,Piston,2
PA34,Landplane,Seguin Princess,General Aviation,Piston,2
PA36,Landplane,Aicsa PA-36 Pawnee Brave,Agricultural,Piston,1
PA36,Landplane,Chincul PA-A-36 Pawnee Brave,Agricultural,Piston,1
PA36,Landplane,Johnston Super Brave,Agricultural,Piston,1
PA38,Landplane,Aicsa PA-38 Tomahawk,General Aviation,Piston,1
PA38,Landplane,Chincul PA-A-38 Tomahawk,General Aviation,Piston,1
PA44,Landplane,Aicsa PA-44 Seminole,General Aviation,Piston,2
PAGO,Landplane,Sauper ADV-01 Papango,General Aviation,Piston,1
PARL,Landplane,St. Croix Pietenpol Aerial,General Aviation,Piston,1
PAT4,Landplane,Neiva NE-821 Caraja,General Aviation,Turboprop,2
PAT4,Landplane,Schafer Comanchero 500,General Aviation,Turboprop,2
PAUL,Landplane,Neiva 56 Paulistinha,Military Trainer,Piston,1
PAY1,Landplane,Chincul PA-A-31T1-500 Cheyenne 1,General Aviation,Turboprop,2
PAY2,Landplane,Aicsa PA-31T-620 Cheyenne 2,General Aviation,Turboprop,2
PAY2,Landplane,Chincul PA-A-31T-620 Cheyenne 2,General Aviation,Turboprop,2
PAY2,Landplane,Schafer Comanchero 620,General Aviation,Turboprop,2
PAY3,Landplane,Aicsa PA-42-720 Cheyenne 3,General Aviation,Turboprop,2
PC6T,Landplane,Fairchild PC-6 Heli-Porter,Passenger Airliner,Turboprop,1
PC6T,Landplane,Fairchild Hiller PC-6 Heli-Porter,Passenger Airliner,Turboprop,1
PC7,Landplane,Atlas PC-7 Astra,Military Trainer,Turboprop,1
PC7,Landplane,Denel PC-7 Astra,Military Trainer,Turboprop,1
PC7,Landplane,Hesa S-68,Military Trainer,Turboprop,1
PC9,Landplane,Hawker de Havilland PC-9,Military Trainer,Turboprop,1
PEGZ,Landplane,Pegase Aero Pegazair,Ultralight,Piston,1
PELI,Landplane,Kolb Pelican,Ultralight,Piston,1
PELI,Landplane,Flyer Pelican,Ultralight,Piston,1
PEMB,Landplane,Hunting P-66 Pembroke,Other military,Piston,2
PEMB,Landplane,Hunting Percival P-66 Pembroke,Other military,Piston,2
PETR,Amphibian,Billie Pétrel,General Aviation,Piston,1
PETR,Landplane,Edra Helicentro Paturi,General Aviation,Piston,1
PETR,Amphibian,Sman Pétrel,General Aviation,Piston,1
PICO,Landplane,Eurospace F-15 Excalibur,General Aviation,Piston,1
PICO,Landplane,General Avia F-15 Picchio,General Aviation,Piston,1
PILL,Landplane,CASA T-35 Pillán,Military Trainer,Piston,1
PILL,Landplane,Piper PA-28R-300 Pillán,Military Trainer,Piston,1
PILL,Landplane,Indaer Chile T-35 Pillán,Military Trainer,Piston,1
PK20,Landplane,PIK-20 Siren,Glider,No engine,0
PK20,Landplane,Issoire PIK-20E,Glider,Piston,1
PK23,Landplane,Valmet PIK-23 Towmaster,General Aviation,Piston,1
PL12,Landplane,Flight Engineers PL-12 Airtruk,Agricultural,Piston,1
PO2,Landplane,CSS CSS-13,General Aviation,Piston,1
PO2,Landplane,PZL-Mielec CSS-13,General Aviation,Piston,1
PO2,Landplane,PZL-Okecie CSS-13,General Aviation,Piston,1
PPRO,Landplane,Hunting P-56 Provost,Military Trainer,Piston,1
PPRO,Landplane,Hunting Percival P-56 Provost,Military Trainer,Piston,1
PRM1,Landplane,Hawker Beechcraft 390 Premier 1,Business Jet,Jet,2
PRM1,Landplane,Raytheon 390 Premier 1,Business Jet,Jet,2
PROT,Landplane,CSA Parrot,Ultralight,Piston,1
PROW,Landplane,Morse 364 Prowler,General Aviation,Piston,1
PRTS,Landplane,Rutan 281 Proteus,General Aviation,Jet,2
PTMS,Landplane,Kimball S-12 Python,_unknown_,Piston,1
PTS1,Landplane,Aerotek Pitts S-1 Special,General Aviation,Piston,1
PTS1,Landplane,Pitts Special,General Aviation,Piston,1
PTS1,Landplane,Pitts S-1 Special,General Aviation,Piston,1
PTS2,Landplane,Avia S-2C Pitts,General Aviation,Piston,1
PTS2,Landplane,Aerotek Pitts S-2 Special,General Aviation,Piston,1
PTS2,Landplane,Christen Pitts S-2 Special,General Aviation,Piston,1
PTSS,Landplane,Aviat S-1-11 Super Stinker,General Aviation,Piston,1
PULS,Landplane,Pulsar,General Aviation,Piston,1
PULS,Landplane,Hk Wega,General Aviation,Piston,1
PULS,Landplane,Skystar Pulsar,General Aviation,Piston,1
PUMA,Helicopter,IAR-330 Puma,Helicopter,Turboprop,2
PUMA,Helicopter,IAR-330 Puma,Helicopter,Turboprop,2
PUMA,Helicopter,Nurtanio NSA-330 Puma,Helicopter,Turboprop,2
PUMA,Helicopter,Sud SA-330 Puma,Helicopter,Turboprop,2
PUMA,Helicopter,Westland Puma,Helicopter,Turboprop,2
PZ01,Landplane,Lipnur PZL-101 Gawron,General Aviation,Piston,1
PZ04,Landplane,Lipnur Gelatik,General Aviation,Piston,1
PZ26,Landplane,PZL-126 Mrówka,Agricultural,Piston,1
Q5,Landplane,Nanchang Q-5,Other military,Jet,2
R109,Landplane,Aircraft Spruce DR-109 Rhino,_unknown_,Piston,1
R109,Landplane,Rihn DR-109 Rhino,_unknown_,Piston,1
R185,Landplane,Rocket 185,General Aviation,Piston,1
R200,Landplane,Robin R-2160 Alpha Sport,General Aviation,Piston,1
RA14,Landplane,Falconar AMF-S14 Maranda,General Aviation,Piston,1
RA14,Landplane,Maranda BM-1 Loisirs,General Aviation,Piston,1
RA17,Landplane,Maranda BM-3,Agricultural,Piston,1
RALL,Landplane,PZL-110 Koliber,General Aviation,Piston,1
RALL,Landplane,Socata MS-880 Rallye 100,General Aviation,Piston,1
RC70,Landplane,Fuji FA-300,General Aviation,Piston,2
RF10,Landplane,Aeromot AMT-100 Ximango,Motor-Glider,Piston,1
RF10,Landplane,Aerostructure RF-10,Motor-Glider,Piston,1
RF3,Landplane,Alpavia RF-3,Motor-Glider,Piston,1
RF4,Landplane,Alpavia RF-4,Motor-Glider,Piston,1
RF4,Landplane,Sportavia-Putzer RF-4,Motor-Glider,Piston,1
RF47,Landplane,Arc Atlantique RF-47,General Aviation,Piston,1
RF5,Landplane,Aero Jaen RF-5 Serrania,General Aviation,Piston,1
