easa_code,serial_number,eval_type,aircraft_man,aircraft_type,sim_man,qualification,location
FR-215,1001,R,Airbus Helicopters,Generic Multi Engine Piston + variants,Alsim,Type II,KAVALA
FR-223,N°001,R,Eurocopter,Not Applicable,Alsim,Type II,KAVALA
FR-255,N°001,R,Eurocopter,Not Applicable + variants,Alsim,Type II,KAVALA
HR.FSTD.06C,225-60217-C-3EX,R,Not Applicable,Not Applicable + variants,Alsim,Type II,KAVALA
HR.FSTD.06C,225-60217-C-3EX,R,Not Applicable,Not Applicable + variants,Alsim,Type II MCC,KAVALA
HR.FSTD.06C,225-60217-C-3EX,R,Not Applicable,Generic Single Engine Piston,Alsim,Type I,Pirkkala
HR.FSTD.06C,225-60217-C-3EX,R,Not Applicable,Generic Single Engine Piston + variants,Alsim,Type II,THESSALONIKI
HR.FSTD.06C,225-60217-C-3EX,R,Not Applicable,Generic Single Engine Piston + variants,Alsim,Type II,THESSALONIKI
IE 104,2NN9/AL32,R,Airbus,Generic Multi Engine Piston + variants,Alsim,Type II,THESSALONIKI
IE 104,Airbus A320,,,Generic Multi Engine Turbine + variants,Alsim,Type II MCC,THESSALONIKI
IE 110,BAe 146/RJ Series,,,Generic Single Engine Piston + variants,ELITE Simulation Solutions AG,Type II,"Meteoron 2, Koropi"
IE 117,ATR 72-500,,,Generic Multi Engine Piston + variants,ELITE Simulation Solutions AG,Type II,"Meteoron 2, Koropi"
IE 122,FFS-ATR-10,R,ATR,Generic Single Engine Piston,ENTROL,Type II,Markopoulo
IE 201,2TDE,R,Airbus,Generic Multi Engine Piston,ENTROL,Type II,Markopoulo
IE 201,A320-214,,,SENECA V,ELITE Simulation Solutions AG,Type II,Cork
IE 202,2TDE,R,Airbus,Generic Single Engine Piston,Alsim,Type II,Markopoulo
IE 202,A330-200,,,Generic Single Engine Piston,Alsim,Type II,Markopoulo
IE 203,MPS-B126,I,Boeing,Generic Multi Engine Piston,Alsim,Interim level C,Markopoulo
IE 301,NFC/001/1019,R,Beech,Generic Multi Engine Turbine,Alsim,Type II MCC,Markopoulo
IE 301,Multi Engine Piston (BE76),,,Generic Multi Engine Turbine + variants,ELITE Simulation Solutions AG,Type II MCC,MEGARA AIRPORT
IE 303,160-60157-C-4EX,R,Piper,Not Applicable + variants,ELITE Simulation Solutions AG,Type II MCC,"Meteoron 2, Koropi"
IE 303,Multi Engine Piston (Piper Seneca),,,Generic Multi Engine Jet + variants,PearWilliams,Type II MCC,Megara Airport
IE 305,SN-00002165,R,Not Applicable,A320-200 + variants,CAE,D,Roma
IE 305,Generic Twin Jet,,,B737-800,Multi Pilot Simulations BV,Type II MCC,Cork
IE 309,MPS-B112,R,Boeing,Not Applicable + variants,ELITE Simulation Solutions AG,Type II,Hannover
IE 309,Boeing 737-800W,,,Be 76 Duchess,Frasca Internatinal Inc.,Type II,"Weston, Dublin"
IE 310,MPS-B126,I,Boeing,A340-300,CAE,DG,Frankfurt
IE 311,ALX-79,R,Not Applicable,A340-600,CAE,D,CAE Centre Madrid
IE 312,ALX-79,R,Not Applicable,Generic Single Engine Piston,Mechtronix,Type II,Helsinki-Malmi airport
IE 313,ALX-79,R,Not Applicable,72-500,CAE,D,CAE Centre Amsterdam
IE 314,A42MKII-12,R,Diamond Aircraft,42-300 + variants,CAE,C,CAE Centre Amsterdam
IE-123,FFS-ATR-05,R,ATR,A320-200 + variants,CAE,D,
IE-315,DSIM-DA42NG-800,I,Diamond Aircraft,A330-200 + variants,CAE,D,CAE Copenhagen
IT-002,45837864,R,Airbus,A340-300,CAE,D,CAE Copenhagen
IT-004,A7924,R,McDonnell-Douglas/Boeing,SAAB SF340,CAE,CG,CAE Centre Stockholm
IT-007,4425/001,R,Not Applicable,A321-200 + variants,AIRBUS SA,D,CAE Centre Barcelona
IT-019,2RS7-439,R,Boeing,A330-200 + variants,CAE,D,CAE Copenhagen
IT-025A,A2MG15,R,Not Applicable,A330-200 + variants,CAE,D,CAE Copenhagen
IT-030A,2EAH-549,R,Agusta Westland,ATR 72 + variants,CAE,D,CAE Centre Madrid
IT-030B,2EAH-549,R,Agusta,A320-200 + variants,CAE,D,CAE Centre Oslo
IT-030C,2EAH-549,R,Agusta,B737-800 + variants,CAE,D,CAE Centre Brussels
IT-032,2EFS-628,R,Agusta Westland,B737-700,FSI,D,CAE Centre Palma de Mallorca
IT-036A,SN-FFT-2091,R,Not Applicable,B737-800,FSI,D,CAE Centre Palma de Mallorca
IT-036B,SN-FFT-2091,R,Not Applicable,A320-200 + variants,CAE,D,CAE Centre Milano
IT-036C,SN-FFT-2091,R,Not Applicable,A320-200 + variants,CAE,D,CAE Centre Milano
IT-056,D-SIM-DA42,R,Not Applicable,A320-200 + variants,CAE,D,CAE Centre Milano
IT-058,2R34-312,R,Airbus,A320-200 + variants,CAE,D,CAE Centre Milano
IT-059A,ALX-09,R,Not Applicable,B737-800 + variants,CAE,D,CAE Centre Barcelona
IT-059B,ALX-09,R,Not Applicable,A320-200,CAE,D,
IT-059C,ALX-09,R,Not Applicable,Generic Multi Engine Jet,FTD.aero Sp.z o.o.,Type II MCC,Poznan
IT-060,H11-003,R,Not Applicable,A330-200 + variants,AIRBUS SA,D,CAE Centre Madrid
IT-061,2THC,R,Airbus,A320-200 + variants,CAE,D,CAE Centre Madrid
IT-063A,176-60173-M-3EX,R,Not Applicable,A330-200 + variants,CAE,D,CAE Centre Madrid
IT-066,2183,R,Not Applicable,B737-700,CAE,D,CAE Centre Copenhagen
IT-067,2UGC,R,Airbus,CL600-2B19 + variants,CAE,D,CAE Centre Madrid
IT-068,2ERJ-1035,R,Agusta Westland,CRJ-1000,CAE,D,CAE Centre Madrid
IT-069,T464,R,SUKHOI CIVIL AVIATION COMPANY,A320-200 + variants,CAE,D,CAE Centre Brussels
IT-071,H11-005,R,Not Applicable,A320-200 + variants,CAE,D,CAE Centre Barcelona
IT-072,2ETM-1137,R,Agusta Westland,A320-200 + variants,CAE,D,CAE Centre Milano
IT-073B,ALX-023,R,Not Applicable,A320-200 + variants,CAE,D,CAE Centre Milano
IT-073C,ALX-023,R,Not Applicable,Generic Multi Engine Piston,ELITE Simulation Solutions AG,Type II,Innsbruck
IT-073C,ALX-023,R,Not Applicable,A320-200,Multi Pilot Simulations BV,Type I,Oude Meer
IT-074A,ALX-040,R,Not Applicable,EMB190,CAE,D,CAE Centre Amsterdam
IT-074B,ALX-040,R,Not Applicable,CL600-2B19 + variants,CAE,D,CAE Centre Copenhagen
IT-075,H-21-025,R,Not Applicable,CANADAIR RJ900 + variants,CAE,D,CAE Centre Madrid
IT-077A,ALX-22,R,Not Applicable,B737-700,CAE,D,CAE Centre Stockholm
IT-079A,ALX-45,R,Not Applicable,SAAB 2000,FSI,DG,CAE Centre Copenhagen
IT-079B,ALX-45,R,Not Applicable,EMB 170 + variants,CAE,D,CAE Centre Amsterdam
IT-079C,ALX-45,R,Not Applicable,Bandeirante EMB 110 + variants,CAE,D,CAE Centre Amsterdam
IT-080,104377-1355,R,Agusta Westland,A350-900 + variants,CAE,D,CAE Centre Madrid
IT-081,WX8-002,R,Boeing,A320-200,SIM Industries,D,CAE Centre Madrid
IT-082A,ALX-69,S,Not Applicable,F100,CAE,D,CAE Centre Amsterdam
IT-082B,ALX-69,R,Not Applicable,B757-200,CAE,D,CAE Centre Brussels
IT-082C,ALX-69,R,Not Applicable,B767-300 + variants,CAE,D,CAE Centre Brussels
IT-083,L1774-1,R,Airbus,B737-800,CAE,D,CAE Centre Oslo
IT-084,2,R,British Aerospace/AVRO,B767-300 + variants,CAE,D,CAE Centre Brussels
IT-085,H-39-041,R,Not Applicable,B787-9 + variants,CAE,D,CAE Centre Madrid
IT-086,A18-040,R,Not Applicable,B787-9 + variants,CAE,D,CAE Centre Madrid
IT-087,TA69STSA-FTD-00,S,Leonardo Spa Helicopter,A320-200,6MOUV,D,CAE Centre Madrid
IT-088,SN-00002640,R,Canadair,A320-200 + variants,CAE,D,CAE Centre Amsterdam
IT-089,5842,R,Cessna,A320-200 + variants,CAE,D,CAE Centre Amsterdam
IT-090,C-310,R,Not Applicable,B737-800 + variants,SIM Industries,D,CAE Centre Amsterdam
IT-092A,ALX-86,R,Not Applicable,A330-200 + variants,Thomson Training & Simulation,D,CAE Centre Madrid
IT-092B,ALX-86,R,Not Applicable,A320-200,CAE,D,CAE Centre Stockholm
IT-092C,ALX-86,R,Not Applicable,DHC8-100,CAE,CG,CAE Centre Oslo
IT-092D,ALX-86,R,Not Applicable,DHC8-300,CAE,CG,CAE Centre Oslo
IT-093,SM SBV08/5,R,Boeing,A320-200 + variants,CAE,D,CAE Centre Stockholm
IT-094A,ALX-93,R,Not Applicable,A330-200,CAE,D,CAE Centre London Gatwick
IT-094B,ALX-93,R,Not Applicable,B737-800 + variants,CAE,D,CAE Centre Amsterdam
IT-094C,ALX-93,R,Not Applicable,72-500,INDRA,D,
IT-095A,A32-059,R,Not Applicable,A330-200,CAE,D,CAE Centre Brussels
IT-095B,A32-059,R,Not Applicable,CANADAIR RJ900 + variants,CAE,D,CAE Centre Copenhagen
IT-095C,A32-059,R,Not Applicable,DHC8-400,CAE,D,CAE Centre Stockholm
IT-096A,ALX-100,R,Not Applicable,L382 G + variants,Reflectone,BG,CAE Centre Brussels
IT-096B,ALX-100,R,Not Applicable,A330-200,CAE,D,CAE Centre Brussels
IT-096C,ALX-100,R,Not Applicable,A330-200,CAE,D,CAE Centre Brussels
IT-096D,ALX-100,R,Not Applicable,A320-200 + variants,CAE,D,CAE Centre Manchester
IT-097A,A250-78,R,Not Applicable,A320-200 + variants,CAE,D,CAE Centre Manchester
IT-097B,A250-78,R,Not Applicable,B737-800 + variants,CAE,D,CAE Centre Oslo
IT-098A,ALX-83,R,Not Applicable,ATP Jetstream 61,Reflectone,BG,CAE Centre Copenhagen
IT-098B,ALX-83,R,Not Applicable,DHC8-300,CAE,D,CAE Centre Madrid
IT-098C,ALX-83,R,Not Applicable,A340-300,Thomson Training & Simulation,D,CAE Centre Madrid
IT-100,TA39STSA-FTD-00,R,Agusta Westland,A330-200 + variants,CAE,D,CAE Copenhagen
IT-101,H-64-081,R,ERICKSON,F50,CAE,CG,CAE Stockholm
IT-102,FTD-ATR-12,R,ATR,EMB 170,CAE,D,CAE Centre Amsterdam
IT-103,5965,R,Cessna,A320-200 + variants,Thales Training and Simulation,D,CAE Centre Barcelona
IT-104,TA69STSA-FTD-00,R,Leonardo Spa Helicopter,A320-200,Thomson Training & Simulation,DG,CAE Centre Madrid
IT-105,AL4x-15,R,Not Applicable,A320-200 + variants,Thales Training and Simulation,D,CAE Centre Barcelona
IT-106,5,R,Airbus,EMB190,CAE,D,CAE Centre Amsterdam
IT-107A,92,R,Not Applicable,A340-600,CAE,D,CAE Centre Burgess Hill
IT-107B,92,R,Not Applicable,Generic Multi Engine Piston + variants,Alsim,Type II,Megara Airport
IT-108,B73M-F2M-05-202,R,Not Applicable,S-61 N,Rediffusion,Special Category,"Stockholm, Arlanda"
IT-109,106,R,Eurocopter,Not Applicable + variants,Alsim,Type II,Kozani
IT-109,106,R,Eurocopter,Not Applicable + variants,Alsim,Type II,KOZANI
IT-110,105,R,Airbus Helicopters,Not Applicable + variants,Alsim,Type II,KOZANI
IT-111,TA39STSA-FFS-00,S,Agusta Westland,Not Applicable + variants,Alsim,Type II,KOZANI
IT-112,1891,R,Not Applicable,Not Applicable + variants,Alsim,Type II,Kozani
IT-113,1965,R,Not Applicable,Not Applicable + variants,Alsim,Type II,Kozani
IT-114,2401,I,Not Applicable,A320-200,CAE,1,Helsinki airport
IT-115,124410-1855,R,Airbus,Generic Multi Engine Turbine,AIRBUS SA,Type II MCC,Forlì
IT-116A,ALX-117,R,Not Applicable,Generic Single Engine Piston,Mechtronix,Type II,Pogány (Hungary)
IT-116B,ALX-117,R,Not Applicable,BK 117D-2,Reiser Simulation and Training,D,"Sola - Stavanger, Norway"
IT-116C,ALX-117,R,Not Applicable,Generic Multi Engine Piston,Alsim,2,Ragusa
IT-118,A32X/F2M/01/202,I,Not Applicable,A321-100,Thomson Training & Simulation,D,Tessera
IT-119,1,I,Agusta,CN-235,CASA,CG,
IT-120,2THC,I,Airbus,ATR 72 + variants,GMI ( George Moody Inc),CG,Vantaa
IT-121,2THC,I,Airbus,Not Applicable + variants,Alsim,,Catania
LU-004A,A250-93,I,Not Applicable,A340-300,CAE,DG,
LU-006,A12 SN 154,I,Air Tractor Inc.,A340-300,CAE,1,
LVA.FSTD.02,DSIM-CONVNG-001,R,Not Applicable,DC9 80,Rediffusion,CG,
LVA.FSTD.03,DSIM-CONVNG-001,R,Not Applicable,B767-300,CAE,D,
LVA.FSTD.04,118428-1926,R,Bombardier,A330-200,CAE,D,
LVA.FSTD.05,118428-1926,R,Airbus,L382 G + variants,Reflectone,BG,
LVA.FSTD.06,2006-022,R,Not Applicable,A320-200,CAE,D,
LVA.FSTD.07,133564 - 1942,I,Airbus,AVRO RJ,Reflectone,DG,
MT-EPA100,A01-075,R,Not Applicable,B737-800,CAE,D,
MT-FR642,111037,R,Boeing,B757-200,CAE,D,
MT-FR658,119539-1950,R,Airbus,B767-300,CAE,D,
MT-FR659,116491-1738,R,Boeing,A320-200,CAE,D,
MT-FR800,CAE 126224,R,Boeing,A330-200,CAE,D,
MT-FR801,CAE 126360,R,Boeing,CN-235,CASA,CG,
MT-FR821,CAE 131491,I,Boeing,Generic Single Engine Piston + variants,ELITE Simulation Solutions AG,Type II,
MT-FR822,CAE 131493,I,Boeing,A300-B4,CAE,C,
MT-FR841,CAE 131495,I,Boeing,B737-300,CAE,CG,
MT-FR842,CAE 131496,I,Boeing,B737-500,CAE,CG,
MT-FR867,CAE 125952-1991,R,Boeing,A330-300,Thomson Training & Simulation,D,
MT-FR868,CAE 125955,R,Boeing,ATR 42,CAE,C,
MT-FR900,MPS M502,R,Boeing,ATR 72,CAE,D,
MT-FR951,MPS B113,R,Boeing,A320-200,INDRA,D,
MT-FR956,MPS B119,R,Boeing,DO 328-100,Thomson Training & Simulation,BG,
MT-FR991,MPS  M506,R,Boeing,A330-300,Thomson Training & Simulation,D,
MT-FRA101,MPS M502,R,Not Applicable,A340-300,Thales Training and Simulation,D,
MT-FRA138,MPS B113,R,Not Applicable,B737-200,LMT,Special Category,
MT-FRA144,MPS B119,R,Not Applicable,EC 135 + variants,CAE Elektronik GmbH,A,Bueckeburg
MT-FRA189,MPS  M506,R,Not Applicable,Not Applicable,6MOUV,Interim level C,
NL-147,61125346-040,R,Boeing,Generic Multi Engine Turbine + variants,ELITE Simulation Solutions AG,Type II MCC,Lucko (Zagreb)
NL-153,6122-3860-040,R,Airbus,A340-300,CAE,D,Zurich-Airport
NL-179,2T13-711,R,Boeing,AS 332 L1,Thales Training and Simulation,D,Emmen
NL-179,2T13-711,R,Boeing,EC 135 P + variants,Thales Training and Simulation,D,Emmen
NL-187,FFS 15 L3 T4975,R,Boeing,ERJ 190-300  E2,FSI,D,Opfikon
NL-210,Reflectone 5563,R,BAe/AVRO,PC-12 + variants,Frasca Internatinal Inc.,2,CH - Stans
NL-226,248-60234-S-3EX,I,Not Applicable,PC-12 + variants,Frasca Internatinal Inc.,Type II MCC,Stans
NL-230,MPS-A211,R,Airbus,A220-100 + variants,CAE,D,Zurich-Opfikon
NL-240,80170,I,Airbus Helicopters,AW109SP,Agusta Westland,B,Zurich-Kloten
NL-247,L-3 L2053,I,Boeing,Not Applicable,Diamond Simulation GmbH & Co KG,Type II,Opfikon
NL-248,H11-061,R,Airbus Helicopters,Generic Multi Engine Turbine + variants,ELITE Simulation Solutions AG,Type II MCC,Lucko (Zagreb)
NL-249,116568-1831,R,Embraer,A340-300,CAE,D,Zurich-Airport
NL-250,CAE 121078-1832,I,Embraer,AS 332 L1,Thales Training and Simulation,D,Emmen
NL-267,127909,I,Airbus,EC 135 P + variants,Thales Training and Simulation,D,Emmen
NL-268,CAE 128964,I,Airbus,ERJ 190-300  E2,FSI,D,Opfikon
NL-78,2NG3,R,Boeing,PC-12 + variants,Frasca Internatinal Inc.,2,CH - Stans
NL-787,L1115,R,Boeing,PC-12 + variants,Frasca Internatinal Inc.,Type II MCC,Stans
NO-101,7833,R,Sikorsky,A220-100 + variants,CAE,D,Zurich-Opfikon
PL-04-01,ALX-30,R,Not Applicable,AW109SP,Agusta Westland,B,Zurich-Kloten
PL-04-02,ALX-30,R,Not Applicable,Not Applicable,Diamond Simulation GmbH & Co KG,Type II,Opfikon
PL-04-03,ALX-30,R,Not Applicable,Generic Multi Engine Turbine + variants,ELITE Simulation Solutions AG,Type II MCC,Lucko (Zagreb)
PL-04-04,ALX-30,R,Not Applicable,A340-300,CAE,D,Zurich-Airport
PL-05-01,ALX-31,R,Not Applicable,AS 332 L1,Thales Training and Simulation,D,Emmen
PL-05-02,ALX-31,R,Not Applicable,EC 135 P + variants,Thales Training and Simulation,D,Emmen
PL-05-03,ALX-31,R,Not Applicable,ERJ 190-300  E2,FSI,D,Opfikon
PL-05-04,ALX-31,R,Not Applicable,PC-12 + variants,Frasca Internatinal Inc.,2,CH - Stans
PL-11,B738/F2M/01/201,I,Not Applicable,PC-12 + variants,Frasca Internatinal Inc.,Type II MCC,Stans
PL-12-01,AL-250-35,R,Not Applicable,A220-100 + variants,CAE,D,Zurich-Opfikon
PL-12-02,AL-250-35,R,Not Applicable,AW109SP,Agusta Westland,B,Zurich-Kloten
PL-13-01,Elite S923,R,Not Applicable,Not Applicable,Diamond Simulation GmbH & Co KG,Type II,Opfikon
PL-13-02,Elite S923,R,Not Applicable,Generic Multi Engine Turbine + variants,ELITE Simulation Solutions AG,Type II MCC,Lucko (Zagreb)
PL-13-03,Elite S923,R,Not Applicable,A340-300,CAE,D,Zurich-Airport
PL-139-01,S812,R,Not Applicable,AS 332 L1,Thales Training and Simulation,D,Emmen
PL-139-02,S812,R,Not Applicable,EC 135 P + variants,Thales Training and Simulation,D,Emmen
PL-14,119659-1806,R,Boeing,ERJ 190-300  E2,FSI,D,Opfikon
PL-140-01,ALX-27,R,Not Applicable,PC-12 + variants,Frasca Internatinal Inc.,2,CH - Stans
PL-140-03,ALX-27,R,Not Applicable,PC-12 + variants,Frasca Internatinal Inc.,Type II MCC,Stans
PL-140-07,ALX-27,R,Not Applicable,A220-100 + variants,CAE,D,Zurich-Opfikon
PL-15,BAS  FBXP 06/10,R,Not Applicable,AW109SP,Agusta Westland,B,Zurich-Kloten
PL-16-01,A250-58,R,Not Applicable,Not Applicable,Diamond Simulation GmbH & Co KG,Type II,Opfikon
PL-16-02,A250-58,R,Not Applicable,Generic Multi Engine Turbine + variants,ELITE Simulation Solutions AG,Type II MCC,Lucko (Zagreb)
PL-16-03,A250-58,R,Not Applicable,A340-300,CAE,D,Zurich-Airport
PL-17-01,AL4X-05,R,Not Applicable,AS 332 L1,Thales Training and Simulation,D,Emmen
PL-17-02,AL4X-05,R,Not Applicable,EC 135 P + variants,Thales Training and Simulation,D,Emmen
PL-21-01,EN4000X sn071,R,Not Applicable,ERJ 190-300  E2,FSI,D,Opfikon
PL-21-02,EN4000X sn071,R,Not Applicable,PC-12 + variants,Frasca Internatinal Inc.,2,CH - Stans
PL-22-01,A250-97,R,Not Applicable,PC-12 + variants,Frasca Internatinal Inc.,Type II MCC,Stans
PL-22-02,A250-97,R,Not Applicable,A220-100 + variants,CAE,D,Zurich-Opfikon
PL-22-03,A 250-97,R,Not Applicable,AW109SP,Agusta Westland,B,Zurich-Kloten
PL-25,BAS FBXP 06/10,R,Not Applicable,Not Applicable,Diamond Simulation GmbH & Co KG,Type II,Opfikon
PL-32-01,S812,R,Not Applicable,,,FNPT II,Charleroi Airport - Charleroi
PL-32-02,S812,R,Not Applicable,,,FNPT II,Charleroi Airport - Charleroi
PL-48-01,AL-250-42,R,Not Applicable,,,FNPT II,Charleroi Airport - Charleroi
PL-48-02,AL-250-42,R,Not Applicable,,,FNPT II,Charleroi Airport - Charleroi
PL-51-01,ALX-61,R,Not Applicable,,,FNPT II,945b Nieuwpoortsesteenweg - Oostende
PL-51-02,ALX-61,R,Not Applicable,,,FNPT II - MCC,101 Kalkaertstraat - Oostende
PL-51-03,ALX-61,R,Not Applicable,,,FNPT II,Charleroi Airport - Charleroi
PL-51-04,ALX-61,R,Not Applicable,,,FNPT II,Antwerp Airport - Antwerpen
PL-55,EC135 FTD 001 S,R,Airbus Helicopters,,,FNPT II,Antwerp Airport - Antwerpen
PL-60-01,ALX-49,R,Not Applicable,,,FNPT II,Charleroi Airport - Charleroi
PL-60-02,ALX-49,R,Not Applicable,,,FNPT II,Antwerp Airport - Antwerpen
PL-60-03,ALX-49,R,Not Applicable,,,FNPT II,Antwerp Airport - Antwerpen
PL-7-01,ALX-82,R,Not Applicable,,,FNPT II,Antwerp Airport - Antwerpen
PL-7-02,ALX-82,R,Not Applicable,,,FNPT II - MCC,Antwerp Airport - Antwerpen
PL-7-03,ALX-82,R,Not Applicable,,,FNPT II,Antwerp Airport - Antwerpen
PL-9-01,ALX-84,R,Not Applicable,,,FNPT II,Antwerp Airport - Antwerpen
PL-9-02,ALX-84,R,Not Applicable,,,FNPT II,Antwerp Airport - Antwerpen
PL-9-03,ALX-84,R,Not Applicable,,,FNPT-II MCC,Antwerp Airport - Antwerp
PL-9-04,ALX-84,R,Not Applicable,,,FNPT II,Antwerp Airport - Antwerpen
PL-97-01,S923,R,Not Applicable,,,FNPT II,Antwerp Airport - Antwerpen
PL-97-02,S923,R,Not Applicable,,,FNPT II,Antwerp Airport - Antwerp
PL-97-03,S923,R,Not Applicable,,,FNPT II,Antwerp Airport - Antwerp
SI-304A,AL-250-44,R,Not Applicable,,,FNPT II,945b Nieuwpoortsesteenweg - Oostende
SI-304B,AL250-44,R,Not Applicable,,,FNPT II,
SK.002.A,SN-FFT-2068,R,Not Applicable,,,FNPT II MCC,
SK.002.B,SN-FFT-2068,R,Not Applicable,,,FNPT II MEP,
SK.004,204-60198-T-3EX,R,Not Applicable,,,FNPT II MCC,
SK.006.A,SN-FFT-2013,R,Not Applicable,,,FNPT II,
SK.007,FBT22CMU2S0423,I,Not Applicable,,,FNPT II,
SLO-301A,S923/2460032-C,R,Not Applicable,,,FNPT II MCC,"Aer Lingus, Dublin Airport"
SLO-301B,S923/2460032-C,R,Not Applicable,,,D,"Simtech Aviation, Dublin Airport"
SLO-301C,S923/2460032-C,R,Not Applicable,,,BG,"Simtech Aviation, Dublin Airport"
SRB/001A ,Generic MEP,,,,,D,"Aer Lingus, Dublin Airport"
SRB/001B,Generic JET,,,,,FTD 1,"Aer Lingus, Dublin Airport"
SRB/002A ,Generic MEP,,,,,FTD 1,"National Flight Centre, Weston"
SRB/002B ,Generic MET,,,,,FNPT II,"Atlantic Flight Training, Cork Airport"
SRB/003A ,Generic SEP,,,,,FNPT II,"Simtech Aviation, Dublin Airport"
SRB/003B,Generic MEP,,,,,FNPT II MCC,"Atlantic Flight Training Academy, Eastgate Business Park, Cork."
SRB/003C,Generic MET,,,,,FNPT II MCC,
ES‐3A‐040,GENERIC MULTI‐ENGINE TURBOPROP (SIMILAR PA‐31T),,,,,FNPT Level II MCC,GRUPAIRMED S.A.
ES‐3H‐009,GENERIC MULTI‐ENGINE TURBINE (SIMILAR AS‐355),,,,,FNPT Level II MCC,DIRECCIÓN GENERAL DE TRÁFICO
ES‐3A‐022,GENERIC SINGLE‐ENGINE PISTON (SIMILAR B‐33),,,,,FNPT Level II,EUROPEAN AVIATION COLLEGUE
ES‐3A‐023,GENERIC MULTI‐ENGINE PISTON (SIMILAR B‐58),,,,,FNPT Level II,EUROPEAN AVIATION COLLEGUE
ES‐3A‐002,GENERIC MULTI‐ENGINE TURBOPROP (SIMILAR B‐200),,,,,FNPT Level II MCC,AEROTEC
ES‐3A‐011,GENERIC MULTI‐ENGINE PISTON,,,,,FNPT Level I,AEROTEC
ES‐1A‐034,C‐295,,,,,FFS Level D,AIRBUS MILITARY
ES‐1A‐032,A320‐200,,,,,FFS Level D,GLOBAL TRAINING AVIATION
ES‐2A‐004,B737‐800W,,,,,FTD Level 2,FTE JEREZ
ES‐3A‐037,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR B737‐800W),,,,,FNPT Level II MCC,FTE JEREZ
ES‐3A‐012,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR A320),,,,,FNPT Level II MCC,EUROPEAN FLYERS
ES‐3A‐028,GENERIC SINGLE‐ENGINE PISTON (SIMILAR C‐172),,,,,FNPT Level I,EUROPEAN FLYERS
ES‐3A‐024,GENERIC MULTI‐ENGINE TURBOPROP (SIMILAR B‐200),,,,,FNPT Level II MCC,AERODYNAMICS MÁLAGA
ES‐2H‐001,BELL 412 HP,,,,,FTD Level 3,BABCOCK MCS
ES‐3A‐032,GENERIC MULTI‐ENGINE PISTON (SIMILAR DA‐42),,,,,FNPT Level II,FUNDACIÓN REGO
ES‐3H‐005,GENERIC SINGLE‐ENGINE TURBINE (SIMILAR BELL 206B),,,,,FNPT Level II,
ES‐2H‐002,BELL 412 HP,,,,,FTD Level 3,
ES‐1A‐028,ATR‐72/500,,,,,FFS Level D,
ES‐3A‐042,GENERIC MULTI‐ENGINE PISTON (SIMILAR P‐2006 T),,,,,FNPT Level II,
ES‐1A‐011,C‐235,,,,,FFS Level CG,
ES‐3A‐021,GENERIC MULTI‐ENGINE TURBOPROP (SIMILAR B‐200),,,,,FNPT Level II MCC,
ES‐3A‐038,GENERIC MULTI‐ENGINE PISTON (SIMILAR DA‐42),,,,,FNPT Level II,
ES‐3A‐039,GENERIC MULTI‐ENGINE PISTON (SIMILAR DA‐42),,,,,FNPT Level II,
ES‐1A‐036,A400‐M,,,,,FFS Level D,
ES‐3A‐027,GENERIC MULTI‐ENGINE TURBOPROP (SIMILAR B‐200),,,,,FNPT Level II MCC,
ES‐3A‐098,GENERIC MULTI‐ENGINE TURBOPROP (SIMILAR B‐200),,,,,FNPT Level II MCC,
ES‐1H‐001,BELL 412 HP,,,,,FFS Level B,
ES‐2A‐005,AT‐802F,,,,,FTD Level 3,
ES‐3A‐029,GENERIC MULTI‐ENGINE TURBOPROP (SIMILAR B‐200),,,,,FNPT Level II MCC,
ES‐3A‐044,GENERIC MULTI‐ENGINE PISTON (SIMILAR DA‐42),,,,,FNPT Level II,
ES‐3A‐045,GENERIC MULTI‐ENGINE PISTON (SIMILAR P‐2006 T),,,,,FNPT Level II,
ES‐3A‐046,GENERIC SINGLE‐ENGINE PISTON (SIMILAR PA‐28),,,,,FNPT Level II,
ES‐3A‐047,GENERIC MULTI‐ENGINE PISTON (SIMILAR PA‐44),,,,,FNPT Level II,
ES‐3A‐048,GENERIC MULTI‐ENGINE TURBOPROP (SIMILAR B‐200),,,,,FNPT Level II MCC,
ES‐3A‐049,GENERIC TURBOFAN MEDIUM WEIGHT,,,,,FNPT Level II MCC,
ES‐3A‐050,GENERIC MULTI‐ENGINE PISTON (SIMILAR PA‐44),,,,,FNPT Level II,
ES‐1H‐002,EC‐135,,,,,FFS Level D,
ES‐2H‐003,EC‐135,,,,,FTD Level 3,
ES‐3A‐051,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR A320),,,,,FNPT Level II MCC,
ES‐3A‐052,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR A320),,,,,FNPT Level II MCC,
ES‐1A‐037,ATR‐72/600,,,,,FFS Level D,
ES‐3A‐053,GENERIC TURBOFAN MEDIUM WEIGHT (SIMILAR A320),,,,,FNPT Level II MCC,
ES‐3A‐054,GENERIC TURBOFAN MEDIUM WEIGHT,,,,,FNPT Level II MCC,
ES‐3H‐011,GENERIC MULTI‐ENGINE TURBINE (SIMILAR EC‐135),,,,,FNPT Level II MCC,
ES‐1A‐038,A330‐MRTT,,,,,FFS Level D,
