easa_code,serial_number,eval_type,aircraft_man,aircraft_type,sim_man,qualification,location
BE-FNPT 029,Generic close to A320,,,C510 (Citation Mustang),Frasca Internatinal Inc.,2,"Grenoble airport, France"
BE-FNPT 031,Generic MEP(A) close to DA42,,,AS 350 B 3 + variants,Thales Training and Simulation,3,Albertville
BE-FNPT 032,Generic SEP(A) close to C172,,,AS 350 B 3 + variants,Thales Training and Simulation,B,Albertville
BE-FNPT 033,Generic SEP(A) (representative of DA40),,,EC 135 T + variants,Thales Training and Simulation,3,Albertville
BE-FNPT 034,Generic MEP(A) (representative of DA42-VI),,,EC 135 T + variants,Thales Training and Simulation,B,Albertville
BE-FNPT 035,Generic MEP(A) close to DA42,,,EMB-500,Frasca Internatinal Inc.,2,Pori
BW-1A-101,T7697,R,Airbus,Falcon 2000,FSI,D,Paris Le Bourget
BW-1A-101,T7697,R,Airbus,Falcon 20 + variants,FSI,CG,Paris Le Bourget Airport
BW-1A-102,100007800,S,Airbus,Falcon 20 + variants,FSI,CG,Paris Le Bourget Airport
BW-1H-501,8253,R,Eurocopter,AS 332 L1 + variants,Frasca Internatinal Inc.,2,Fuhlendorf
BW-1H-502,8262,R,Eurocopter,EC 135 + variants,Frasca Internatinal Inc.,Type III MCC,Sankt Augustin
BW-1H-504,8254,R,Eurocopter,EC 135 T + variants,Frasca Internatinal Inc.,MCC,Sankt Augustin
BW-1H-505,8561,R,Eurocopter,EC 155 + variants,Frasca Internatinal Inc.,2,Sankt Augustin
BW-1H-506,8263,R,Eurocopter,EC 155 + variants,Frasca Internatinal Inc.,Type III MCC,Sankt Augustin
BW-2A-101,T7471,R,Airbus,A350-900,CAE,D,Tremblay en France
BW-2A-101,T7471,S,Airbus,A320-200,CAE,D,Berlin
CH-123,CAE-2NF7,R,Airbus,AT-802 + variants,ENTROL,2,"Cargolux Airlines International S.A. 70, rue de Luxembourg L-5230 SANDWEILER"
CH-123,CAE-2NF7,R,Airbus,A320-200,Thales Training and Simulation,D,München
